StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage, ,Q2,Q3,Q16,Q16_DO,blocknumber,FL_49_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This survey aims to research the consumers' attitude towards privacy when they purchase a web application. Please fill questions following instructions.
Q1. How old are you?",Q2. What is your gender?,Q3. What is the highest degree or level of education you have completed?,Q4. Which combination of features would you choose?,Q4. Which combination of features would you choose? - Display Order,blocknumber,FL_49 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""blocknumber""}","{""ImportId"":""FL_49_DO""}"
11/18/2021 11:27,11/18/2021 11:29,IP Address,128.237.82.10,100,97,TRUE,11/18/2021 11:29,R_1GjuUFTwNtTTR5f,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),7,Treatment2
11/18/2021 11:34,11/18/2021 11:35,IP Address,174.242.34.152,100,74,TRUE,11/18/2021 11:35,R_1msohuSNNaWPB9T,,,,,40.54570007,-80.05079651,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),74,Treatment1
11/18/2021 11:35,11/18/2021 11:36,IP Address,128.237.82.5,100,25,TRUE,11/18/2021 11:36,R_2uTYW92SasxVjmt,,,,,40.44419861,-79.95570374,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),4,Treatment3
11/18/2021 11:39,11/18/2021 11:43,IP Address,128.237.82.12,100,264,TRUE,11/18/2021 11:43,R_2Phu5R2vnKgDT8a,,,,,40.44419861,-79.95570374,anonymous,EN,30-34,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),92,
11/18/2021 11:42,11/18/2021 11:44,IP Address,128.237.82.13,100,107,TRUE,11/18/2021 11:44,R_1P7CQrxEMGNJdlX,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),73,Treatment1
11/18/2021 11:50,11/18/2021 11:51,IP Address,128.237.82.9,100,73,TRUE,11/18/2021 11:51,R_124G01dYtT5HAMX,,,,,40.44419861,-79.95570374,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),59,Treatment3
11/18/2021 11:52,11/18/2021 11:52,IP Address,128.237.82.9,100,45,TRUE,11/18/2021 11:52,R_3CAYNSp2DDVBMqJ,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Male,"Master's degree, Ph.D, or higher",InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),2,Treatment2
11/18/2021 11:54,11/18/2021 11:56,IP Address,49.37.169.66,100,117,TRUE,11/18/2021 11:56,R_3Ofy6IVlTBooBvZ,,,,,17.42539978,78.50750732,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),3,Treatment1
11/18/2021 12:01,11/18/2021 12:02,IP Address,128.237.82.15,100,79,TRUE,11/18/2021 12:02,R_2EE5TAvCvuCRBRS,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),11,Treatment3
11/18/2021 12:03,11/18/2021 12:04,IP Address,73.79.137.150,100,89,TRUE,11/18/2021 12:04,R_1Q6lJuvlNLPB4iB,,,,,40.44419861,-79.95570374,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with no add-ons (free),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),16,Treatment2
11/18/2021 12:05,11/18/2021 12:08,IP Address,173.75.44.230,100,169,TRUE,11/18/2021 12:08,R_3kiiseEThKU0WY5,,,,,40.47250366,-79.9108963,anonymous,EN,25-29,Female,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),20,Treatment2
11/18/2021 12:08,11/18/2021 12:10,IP Address,106.193.234.40,100,84,TRUE,11/18/2021 12:10,R_3NLqd94cNQtEkai,,,,,18.61610413,73.72860718,anonymous,EN,25-29,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with no add-ons (free),1,Treatment3
11/18/2021 12:18,11/18/2021 12:19,IP Address,24.3.250.235,100,60,TRUE,11/18/2021 12:19,R_W0WsEX7xiKICrSx,,,,,40.43240356,-79.92469788,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month),69,Treatment1
11/18/2021 12:32,11/18/2021 12:33,IP Address,128.237.82.9,100,92,TRUE,11/18/2021 12:33,R_22z5xlBrkZ8tHXQ,,,,,40.44419861,-79.95570374,anonymous,EN,25-29,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing feature ($1/month),75,Treatment3
11/18/2021 11:27,11/18/2021 12:36,IP Address,128.237.82.3,100,4104,TRUE,11/18/2021 12:36,R_3OqNJcWijm8Cf6e,,,,,40.44419861,-79.95570374,anonymous,EN,30-34,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free),96,
11/18/2021 12:36,11/18/2021 12:37,IP Address,174.203.99.124,100,39,TRUE,11/18/2021 12:37,R_3jUJqnhGlmv4GU2,,,,,40.33709717,-79.99009705,anonymous,EN,20-24,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing feature ($1/month),InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),26,Treatment2
11/18/2021 12:36,11/18/2021 12:38,IP Address,128.237.82.3,100,62,TRUE,11/18/2021 12:38,R_1FSew0SHMoswpIc,,,,,40.44419861,-79.95570374,anonymous,EN,20-24,Female,Bachelor's (or 4-year) degree,InstaPro with No Sharing feature ($1/month),InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing feature ($1/month),9,Treatment1
11/18/2021 12:36,11/18/2021 12:38,IP Address,71.182.194.202,100,89,TRUE,11/18/2021 12:38,R_C96NKlm5500lXXz,,,,,40.4624939,-79.94609833,anonymous,EN,35 or more than 35,Male,"Master's degree, Ph.D, or higher",InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with no add-ons (free)|InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only features ($2/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),50,Treatment1
11/18/2021 12:44,11/18/2021 12:45,IP Address,174.242.33.112,100,34,TRUE,11/18/2021 12:45,R_2zkarvqqK4bHNv4,,,,,40.54570007,-80.05079651,anonymous,EN,20-24,Male,Bachelor's (or 4-year) degree,InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month),InstaPro with No Sharing feature ($1/month)|InstaPro with No Sharing + Metadata Only + Complete Control features ($3/month)|InstaPro with no add-ons (free)|InstaPro with No Sharing + Metadata Only features ($2/month),89,
